[2025-06-01 17:22:26,753][INFO][MCPVectorOps] Starting MCP Vector Ops server
[2025-06-01 17:24:19,820][INFO][MCPVectorOps] Starting MCP Vector Ops server
[2025-06-01 17:24:19,824][DEBUG][MCPVectorOps] Initializing server 'MCPVectorOpsServer'
[2025-06-01 17:24:19,825][DEBUG][MCPVectorOps] Registering handler for ListToolsRequest
[2025-06-01 17:24:19,825][DEBUG][MCPVectorOps] Registering handler for CallToolRequest
[2025-06-01 17:24:19,825][DEBUG][MCPVectorOps] Registering handler for ListResourcesRequest
[2025-06-01 17:24:19,825][DEBUG][MCPVectorOps] Registering handler for ReadResourceRequest
[2025-06-01 17:24:19,825][DEBUG][MCPVectorOps] Registering handler for PromptListRequest
[2025-06-01 17:24:19,825][DEBUG][MCPVectorOps] Registering handler for GetPromptRequest
[2025-06-01 17:24:19,825][DEBUG][MCPVectorOps] Registering handler for ListResourceTemplatesRequest
[2025-06-01 17:24:19,838][INFO][MCPVectorOps] Starting MCP Vector Ops server
[2025-06-01 17:24:19,838][DEBUG][MCPVectorOps] Creating MCPVectorOpsServer instance
[2025-06-01 17:24:19,838][DEBUG][MCPVectorOps] Using selector: EpollSelector
[2025-06-01 17:25:54,780][INFO][MCPVectorOps] Starting MCP Vector Ops server
[2025-06-01 17:25:54,784][DEBUG][MCPVectorOps] Initializing server 'MCPVectorOpsServer'
[2025-06-01 17:25:54,784][DEBUG][MCPVectorOps] Registering handler for ListToolsRequest
[2025-06-01 17:25:54,784][DEBUG][MCPVectorOps] Registering handler for CallToolRequest
[2025-06-01 17:25:54,784][DEBUG][MCPVectorOps] Registering handler for ListResourcesRequest
[2025-06-01 17:25:54,784][DEBUG][MCPVectorOps] Registering handler for ReadResourceRequest
[2025-06-01 17:25:54,784][DEBUG][MCPVectorOps] Registering handler for PromptListRequest
[2025-06-01 17:25:54,784][DEBUG][MCPVectorOps] Registering handler for GetPromptRequest
[2025-06-01 17:25:54,784][DEBUG][MCPVectorOps] Registering handler for ListResourceTemplatesRequest
[2025-06-01 17:25:54,791][INFO][MCPVectorOps] Starting MCP Vector Ops server
